Name,Postcode,Latitude,Longitude
THE HIGHLAND COUNCIL,KW1 4TP,,
COMHAIRLE NAN EILEAN SIAR,Bennadrove Road,,
WILLIAM HAMILTON & SONS (CONTRACTORS) LIMITED,ML9 3PR,,
LOCHIEL LOGISTICS LIMITED,PH33 7AW,,
BARR ENVIRONMENTAL LIMITED,G83 9EY,,
BARR ENVIRONMENTAL LIMITED,KA18 2RB,,
FIFE COUNCIL,KY12 0RX,,
SCOTTISH WATER,G68 9NB,,
ANDREW COOK (CONTAINERS) LIMITED,KY1 4DN,,
FORTH RESOURCE MANAGEMENT LIMITED, Danderhall,,
WESTERN ISLES COUNCIL,HS2 9JN,,
WILLIAM MUNRO CONSTRUCTION LIMITED,IV16 9XJ,,
BINN SKIPS LIMITED, Glenfarg,,
KEENAN (RECYCLING) LIMITED, Linwood Industrial Estate,,
DUMFRIES & GALLOWAY COUNCIL,DG9 7UD,,
SCOTTISH WATER,Isle of Mull,,
NPL ESTATES LIMITED, Stevenston,,
THE COACH HOUSE TRUST,G64 3QN,,
THE HIGHLAND COUNCIL,IV2 7NT,,
FALKIRK COUNCIL ROADS SERVICES,EH51 0PU,,
STIRLING COUNCIL, Near Fallin,,
Welsh Water Organic Energy ( Cardiff) Ltd,CF3 4EQ,,
Cowbridge Compost Ltd,CF71 7FF,,
Cardiff Council,CF3 2HP,,
Green Waste Company (abergavenny) Ltd,NP7 8AY,,
Newport City Council,NP20 2NS,,
Bryn Recycling Limited,CF82 8FY,,
Sundorne Products ( Llanidloes) Ltd,SY18 6JJ,,
Mr Andrew Morgan & Mr Peter Morgan,NP4 0TP,,
A P S Produce Limited,PO30 3AR,,
M E C Recycling Ltd,LN6 9HS,,
Land Network ( Gainsborough ) Limited,DN21 5DT,,
Devon Waste Management Limited,EX5 1DR,,
Mr David Scrivens & Mr Andrew Scrivens,PR4 2RE,,
Land Network ( North East Lincolnshire ) Ltd,LN11 0RY,,
Envar Composting ( Surrey ) Limited,KT16 0EF,,
Eco Sustainable Solutions Limited,DT2 7TU,,
Robert Benford Stella Benford Kate Benford & Thomas Grey Benford,RG29 1QX,,
Holroyd Robert,HX7 8TE,,
Downs Farm Limited,PL26 8LH,,
Devon Waste Management Ltd,PL19 8JW,,
Allium Helmsley Ltd,YO7 4EJ,,
Richard Piper,TN18 4RW,,
Imerys Minerals Limited,PL26 7YP,,
New Earth Solutions ( West ) Limited,NG33 5LY,,
C S Backhouse Limited,DN14 8SP,,
Dixon                    David,NE46 4LP,,
Harrington & Jessup Ltd,GU24 9NA,,
Regeneration Services Limited,GU32 1ED,,
Royal Household Property Section,SW1A 1AA,,
Material Change Limited,MK18 6AG,,
The Green Estate Ltd,S2 1UP,,
Teesdale Conservation Volunteers Ltd,DL12 9TB,,
Seymour                  Thomas,TS9 7AR,,
Wilkinson                Ronald Ashley,S41 9RL,,
D L & M L Lea Ltd,TF11 9LF,,
 Kew,TW9 3AB,,
Stansted Airport Ltd,CM22 6PT,,
Mr Luke Stacey And Mrs Christine Stacey,MK19 7HD,,
The Royal Horticultural Society,EX38 8PH,,
Royal Botanical Gardens Kew,RH17 6TN,,
Hocking                  Peter,PL19 0QT,,
Godolphin Management Co Limited,CB8 9RX,,
David H Pepper And Ashley Pepper,LE9 1SG,,
Cambs Farms Growers Limited,CB7 5TZ,,
 Bristol and S Glo,BS36 2NS,,
P G & H M Jackson,WA15 0QT,,
Mr David Bragg And Mrs Karen Bragg,PL19 8NN,,
Robinson                 D J,BN18 9PL,,
Hocking                  Christopher,PL30 3PN,,
Coastal Uk Group Limited,EX38 7JA,,
South West Water Ltd,EX16 4PT,,
Mark Farwell Plant Hire Limited,DT11 8SY,50.88449,-2.17987
Bloomfield Composting Limited,WS12 4PB,52.71334,-2.04845
The Royal Horticultural Society,GU23 6QE,51.32256,-0.47633
Caton                    Andrew,CV13 6LD,52.60374,-1.47535
Hall Plant Hire Limited,S42 7JH,53.24217,-1.51743
The Royal Parks - Kensington Park,W2 2UH,51.50657834,-0.16724616
The Royal Parks,NW1 4NR,51.5286073,-0.15409375
The Royal Parks - Greenwich Park,SE10 8QY,51.473,0.00298
Sherwood Farms Ltd,NG12 2JZ,52.93241135,-1.0546302
Gorsefield Farm Ltd,S65 4LY,53.4324,-1.25808
Enovert South Limited,GL52 4RT,,
Birmingham City Council,B45 8UN,52.38470076666667,-1.991662
Brinklow Quarry Limited,CV23 0NJ,52.41139,-1.38222
3 C Waste Ltd,CH2 4JP,53.2428743,-2.8222837
Eric Langton And Janet Langton,L35 1QE,53.38249,-2.80837
George Whittaker And Sons ( Knutsford ) Ltd,WA6 0HA,53.26558,-2.8010799
C E & A Walley,CH3 7PH,53.169504,-2.7978917
C R J Services Ltd,CW11 3QX,53.12439,-2.40224
Suez Recycling And Recovery Lancashire Ltd,PR4 0XE,53.75797,-2.81793
H & E Trotter Ltd,CA4 0PZ,54.80642,-2.8902199
Mr D J & Mrs S A Enderby,NE46 4HF,55.01251,-2.08494
Yorwaste Ltd,YO12 4QA,54.22681,-0.41835
Peterborough City Council,PE1 3DT,52.59344,-0.24943
Greens Of Soham Limited,CB7 5UW,52.3641458,0.3610744
Appleton                 Bernard Gordon,CM9 8LS,51.78477,0.73203
Veolia E S Cleanaway ( U K ) Ltd,SS16 4UH,51.5559918,0.5038098
Tree Fella Limited,SS3 9TR,51.5432599,0.80514
